SourceFile,GPSLatitude,GPSLongitude,Model,Make,LensModel,ImageUniqueID,DateTimeOriginal,Software
foto_01.jpg,"41 deg 19' 39.00"" N","19 deg 49' 7.32"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_001,2025:01:15 09:22:35,Samsung Camera v3.0
foto_02.jpg,"41 deg 19' 36.48"" N","19 deg 49' 10.20"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_002,2025:01:18 14:05:12,Samsung Camera v3.0
foto_03.jpg,"41 deg 19' 48.36"" N","19 deg 49' 15.60"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_003,2025:01:22 20:15:44,Samsung Camera v3.0
foto_04.jpg,"41 deg 19' 44.40"" N","19 deg 49' 3.00"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_004,2025:01:28 08:45:03,Samsung Camera v3.0
foto_05.jpg,"41 deg 19' 52.32"" N","19 deg 49' 22.80"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_005,2025:02:03 12:30:21,Samsung Camera v3.0
foto_06.jpg,"41 deg 19' 37.20"" N","19 deg 49' 8.40"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_006,2025:02:10 17:48:55,Adobe Lightroom
foto_07.jpg,"41 deg 19' 42.60"" N","19 deg 49' 12.00"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_007,2025:02:15 21:10:08,Samsung Camera v3.0
foto_08.jpg,"41 deg 19' 33.60"" N","19 deg 49' 4.80"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_008,2025:02:22 10:05:33,Samsung Camera v3.0
foto_09.jpg,"41 deg 19' 46.20"" N","19 deg 49' 17.40"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_009,2025:03:01 13:20:17,Samsung Camera v3.0
foto_10.jpg,"41 deg 19' 40.08"" N","19 deg 49' 9.12"" E",SM-S918B,Samsung,Samsung S5KHP2 200MP,P1_IMG_010,2025:03:08 19:35:42,Adobe Lightroom
